小时,温度,风力方向,风级,降水量,相对湿度,空气质量
13,6,南风,2,0,37,
12,5,南风,2,0,40,65
11,4,东南风,1,0,59,78
10,0,东北风,1,0,77,123
09,-2,北风,1,0,91,127
08,-3,北风,2,0,93,144
07,-4,北风,2,0,86,160
06,-3,北风,2,0,93,170
05,-3,西风,1,0,90,169
04,-2,西北风,1,0,89,176
03,-1,北风,2,0,88,179
02,0,东风,1,0,88,183
01,0,北风,1,0,93,188
00,0,西北风,2,0,89,188
23,0,北风,2,0,84,183
22,2,北风,2,0,84,183
21,1,西北风,1,0,86,180
20,2,西北风,1,0,81,165
19,3,东南风,1,0,80,152
18,4,南风,1,0,75,139
17,5,西南风,2,0,68,122
16,5,西南风,2,0,63,113
15,5,西南风,2,0,65,113
14,5,西南风,1,0,68,114
